state,state_abbr,state_fips,average_monthly_consumption_kwh,average_residential_rate_per_kwh,average_monthly_bill
Alabama,AL,01,1143.20,16.55,189.20
Alaska,AK,02,578.25,25.01,144.62
Arizona,AZ,04,1074.92,15.70,168.76
Arkansas,AR,05,1048.37,12.83,134.51
California,CA,06,503.21,31.14,156.70
Colorado,CO,08,674.22,15.79,106.46
Connecticut,CT,09,694.57,30.35,210.80
Delaware,DE,10,910.67,17.18,156.45
District of Columbia,DC,11,639.37,20.04,128.13
Florida,FL,12,1104.14,15.27,168.60
Georgia,GA,13,1074.01,15.22,163.46
Hawaii,HI,15,494.87,41.30,204.38
Idaho,ID,16,943.80,11.74,110.80
Illinois,IL,17,693.11,16.96,117.55
Indiana,IN,18,901.13,16.12,145.26
Iowa,IA,19,832.22,13.18,109.69
Kansas,KS,20,875.66,14.48,126.80
Kentucky,KY,21,1046.50,13.20,138.14
Louisiana,LA,22,1201.84,12.34,148.31
Maine,ME,23,550.08,27.24,149.84
Maryland,MD,24,928.84,19.29,179.17
Massachusetts,MA,25,569.68,26.01,148.17
Michigan,MI,26,618.21,19.91,123.09
Minnesota,MN,27,712.30,16.04,114.25
Mississippi,MS,28,1155.90,13.91,160.79
Missouri,MO,29,1000.57,13.37,133.78
Montana,MT,30,852.16,13.12,111.80
Nebraska,NE,31,956.38,12.19,116.58
Nevada,NV,32,929.51,13.16,122.32
New Hampshire,NH,33,618.98,23.35,144.53
New Jersey,NJ,34,662.38,22.15,146.72
New Mexico,NM,35,654.10,15.29,100.01
New York,NY,36,571.16,23.87,136.34
North Carolina,NC,37,1015.32,14.08,142.96
North Dakota,ND,38,1028.63,11.92,122.61
Ohio,OH,39,845.54,16.90,142.90
Oklahoma,OK,40,1079.06,13.05,140.82
Oregon,OR,41,881.85,15.00,132.28
Pennsylvania,PA,42,817.17,17.78,145.29
Rhode Island,RI,44,566.87,28.42,161.11
South Carolina,SC,45,1050.42,14.72,154.62
South Dakota,SD,46,993.75,13.14,130.58
Tennessee,TN,47,1153.56,13.28,153.19
Texas,TX,48,1096.15,15.83,173.52
Utah,UT,49,774.19,12.97,100.41
Vermont,VT,50,573.67,22.58,129.53
Virginia,VA,51,1032.36,15.26,157.54
Washington,WA,53,955.45,12.86,122.87
West Virginia,WV,54,1026.64,15.39,158.00
Wisconsin,WI,55,645.15,18.04,116.38
Wyoming,WY,56,863.38,14.02,121.05
