state,state_abbr,state_fips,political 
Alabama,AL,01,Republican
Alaska,AK,02,Republican
Arizona,AZ,04,Democrat
Arkansas,AR,05,Republican
California,CA,06,Democrat
Colorado,CO,08,Democrat
Connecticut,CT,09,Democrat
Delaware,DE,10,Democrat
District of Columbia,DC,11,Democrat
Florida,FL,12,Republican
Georgia,GA,13,Republican
Hawaii,HI,15,Democrat
Idaho,ID,16,Republican
Illinois,IL,17,Democrat
Indiana,IN,18,Republican
Iowa,IA,19,Republican
Kansas,KS,20,Democrat
Kentucky,KY,21,Democrat
Louisiana,LA,22,Republican
Maine,ME,23,Democrat
Maryland,MD,24,Democrat
Massachusetts,MA,25,Republican
Michigan,MI,26,Democrat
Minnesota,MN,27,Democrat
Mississippi,MS,28,Republican
Missouri,MO,29,Republican
Montana,MT,30,Republican
Nebraska,NE,31,Republican
Nevada,NV,32,Republican
New Hampshire,NH,33,Republican
New Jersey,NJ,34,Democrat
New Mexico,NM,35,Democrat
New York,NY,36,Democrat
North Carolina,NC,37,Democrat
North Dakota,ND,38,Republican
Ohio,OH,39,Republican
Oklahoma,OK,40,Republican
Oregon,OR,41,Democrat
Pennsylvania,PA,42,Democrat
Rhode Island,RI,44,Democrat
South Carolina,SC,45,Republican
South Dakota,SD,46,Republican
Tennessee,TN,47,Republican
Texas,TX,48,Republican
Utah,UT,49,Republican
Vermont,VT,50,Republican
Virginia,VA,51,Democrat
Washington,WA,53,Democrat
West Virginia,WV,54,Republican
Wisconsin,WI,55,Democrat
Wyoming,WY,56,Republican
United States,US,99,
,,,
